sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,NAICS,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan,when
5554,8D0D0120-53D5-4A3D-B68F-D5BAFA1B9F24,5554,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,670.54,660.48,658.02,578.95,584.75,594.0,571.28,698.57,535.65,624.81,596.53,2001-01-01
5555,B8156EED-2420-4B71-A56C-57DED1FA7CEC,5555,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,670.52,659.33,655.79,580.63,585.11,591.92,570.06,693.69,532.02,623.93,595.09,2001-02-01
5556,A8D7795E-40FA-4923-AB52-CA8536DAAD7A,5556,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,668.49,654.07,655.88,578.67,584.13,593.47,570.7,697.08,534.71,622.94,589.09,2001-03-01
5557,8373DAD3-2886-4DAD-AFE8-84DB8C0F414E,5557,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,671.71,657.15,654.09,576.36,580.92,591.96,568.7,693.73,522.5,619.12,589.37,2001-04-01
5558,05DB3E97-35EC-4F75-891B-3F6C696CDEE0,5558,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,664.45,653.23,650.02,571.84,578.44,588.19,567.96,688.27,522.31,618.9,587.41,2001-05-01
5559,9F6DC880-A4F1-4149-A43F-23E9E9BF2270,5559,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,675.72,661.49,658.06,588.66,582.79,591.85,576.42,697.37,529.47,623.5,597.65,2001-06-01
5560,0F6988BE-1D70-4546-A854-15C677B99316,5560,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,672.96,655.63,655.38,586.31,580.57,590.91,576.16,696.65,509.55,619.98,590.31,2001-07-01
5561,6BE8C5BD-E455-4573-A299-F41CC57DB7DB,5561,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,673.6,653.55,655.54,592.32,602.85,593.53,579.54,691.09,534.47,625.05,598.63,2001-08-01
5562,9C61FF04-EA5F-4548-9E21-BA4F29B1E325,5562,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,692.18,659.15,660.5,587.73,594.41,600.95,576.75,699.48,531.89,622.17,600.95,2001-09-01
5563,2538F70D-9A3D-45F0-A6BE-4A3744AF6372,5563,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,693.13,664.43,661.11,587.39,595.74,596.49,582.77,697.06,535.24,623.8,603.69,2001-10-01
5564,E29C2CFE-AD1B-4F77-A0B9-86970CB6FA88,5564,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,675.8,655.07,659.65,586.56,598.11,585.27,583.15,701.04,535.62,625.83,590.9,2001-11-01
5565,C056C58D-CAAE-409E-A994-D20291F4F053,5565,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,674.09,658.72,661.38,593.03,602.37,594.03,594.16,697.61,559.8,631.09,605.77,2001-12-01
5566,5ADDCDBD-6B8D-483F-A6F3-B4D9E939BC9A,5566,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,683.11,655.56,664.21,589.62,599.19,599.19,591.75,698.73,562.6,638.98,604.17,2002-01-01
5567,DB96E5DC-002A-4F7A-97F2-7066CCC3E645,5567,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,688.54,665.24,662.65,594.31,596.29,590.37,586.6,699.15,551.04,625.51,599.27,2002-02-01
5568,B905BAA7-40B0-4BE3-9F8C-7F0F079053E1,5568,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,692.57,676.82,666.93,597.55,601.49,600.05,589.95,703.71,565.53,625.05,605.13,2002-03-01
5569,C4EA174C-07F7-456C-8EBF-F1B35A88FED7,5569,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,695.96,679.44,674.6,601.36,604.18,604.78,595.2,711.85,558.95,638.81,611.67,2002-04-01
5570,8BEC0293-0E3F-47A0-A977-EDECC9753D76,5570,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,680.85,666.55,669.81,597.94,603.29,611.06,598.47,706.47,560.3,643.68,598.18,2002-05-01
5571,DAA5936E-C5E0-4D99-A5EF-C160D08C8B36,5571,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,693.46,667.02,671.76,602.12,604.21,607.08,601.48,711.41,562.65,637.1,603.64,2002-06-01
5572,91B8E5AD-A97E-4DA4-A877-5726D1D9D4C8,5572,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,694.92,671.04,675.49,607.44,604.91,607.55,604.48,716.17,540.74,640.26,610.15,2002-07-01
5573,45DF1C45-3292-40B5-B92F-61320156A774,5573,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,684.47,661.43,668.37,603.27,598.43,604.04,593.0,707.61,541.0,637.98,601.88,2002-08-01
5574,BB5173E0-B17E-4222-BC6B-D96E73775778,5574,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,696.89,676.77,674.85,604.2,602.88,612.71,591.76,715.92,549.76,635.0,614.12,2002-09-01
5575,7493CEBA-0C87-4701-A24B-09B5126317E0,5575,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,694.75,666.65,679.36,604.21,614.14,618.29,598.8,718.94,557.49,653.22,610.46,2002-10-01
5576,A56D66E0-061C-4310-89F8-65B4C5AA59E5,5576,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,702.92,682.7,680.13,619.95,609.87,622.08,598.29,719.97,565.05,638.4,619.96,2002-11-01
5577,1F70B3FE-BD5F-4367-8FF2-AD08D4FF0EBD,5577,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,704.6,687.48,686.19,624.44,611.5,629.78,609.86,722.11,578.68,652.01,628.34,2002-12-01
5578,504ADB8F-F66F-4CE5-9087-58822450AA6F,5578,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,703.22,680.11,681.49,617.27,612.6,624.96,607.06,716.52,575.74,647.76,622.08,2003-01-01
5579,1DC723E6-5DD8-4320-9214-BEA738BBDABE,5579,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,721.01,690.65,690.54,618.41,614.48,636.75,607.21,728.11,575.82,651.18,632.02,2003-02-01
5580,552A4EDD-F3F2-405F-989F-DFE7F2A8449F,5580,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,708.69,679.43,682.94,613.23,611.07,629.32,605.46,721.34,564.34,645.06,623.45,2003-03-01
5581,D13C3EEB-7B37-4221-9DCB-068C5CB987B2,5581,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,716.16,685.81,686.99,613.37,615.02,636.17,611.04,723.04,565.33,650.32,631.06,2003-04-01
5582,D2EEFC2A-CA63-451C-981D-A2986EAF1CFD,5582,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,697.56,675.68,683.63,609.06,612.55,641.92,613.51,721.47,569.65,655.06,621.18,2003-05-01
5583,E2B19D27-C5F3-4AD1-9646-ABAF887FA6DC,5583,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,717.2,690.12,692.58,619.38,617.83,648.53,614.96,730.87,571.59,656.8,639.94,2003-06-01
5584,26E62F97-42B8-43B7-8645-2A7A9EE68D4C,5584,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,711.94,672.89,689.06,612.14,620.46,652.13,610.28,725.97,550.7,664.96,624.79,2003-07-01
5585,F8957732-B5CB-45D1-8CE4-D4F315CA30F0,5585,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,721.01,687.68,690.3,621.83,620.38,650.1,611.49,729.97,558.38,648.06,636.91,2003-08-01
5586,69A264CA-263A-4F4F-B81D-7CD2E103FAD3,5586,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,734.12,694.58,698.22,625.76,627.1,642.94,610.0,736.56,575.64,658.48,647.21,2003-09-01
5587,67971CB3-E1CC-44F6-9A3A-D632D7407685,5587,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,716.88,687.63,696.61,623.77,626.28,629.39,609.47,735.77,573.32,667.28,635.79,2003-10-01
5588,CAA6FD86-1647-4932-AFAD-D2E064C01D0A,5588,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,732.11,698.13,699.9,623.69,631.2,643.69,610.64,736.44,580.7,663.95,642.95,2003-11-01
5589,5900E84C-32A3-4D3C-AF30-73B301DAFFB7,5589,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,722.9,687.28,699.47,631.05,623.87,639.71,618.84,736.87,585.19,669.42,645.72,2003-12-01
5590,0ECC4723-579C-4A42-BBCF-00D176A74A37,5590,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,730.59,692.67,702.75,632.77,631.8,646.17,615.09,745.6,590.41,661.51,641.73,2004-01-01
5591,119514FC-09E4-4E3C-B678-96F395075B11,5591,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,740.74,700.11,705.91,632.57,626.71,654.02,611.0,747.62,576.66,663.0,643.18,2004-02-01
5592,31091D72-D642-4205-9D0A-7F7D97A6A3FE,5592,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,746.86,697.32,705.77,629.28,623.13,656.38,617.98,745.37,580.73,663.84,646.91,2004-03-01
5593,746BB6AF-E5C1-4322-AD69-5EFA8333E6C0,5593,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,726.46,689.84,704.91,628.24,621.01,642.1,619.96,748.34,586.3,671.42,635.02,2004-04-01
5594,DFDFDA74-2E50-4C02-9C95-4B9C6AE7F3DD,5594,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,735.63,693.88,709.16,633.74,629.23,671.62,630.93,750.96,606.63,672.21,655.08,2004-05-01
5595,236583AE-5A67-4FF6-84B8-D6ADD44A1782,5595,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,731.5,689.72,707.28,633.04,625.84,658.03,627.55,748.35,589.09,676.27,648.67,2004-06-01
5596,4FCFE844-57D7-412B-B2B8-27B35D601D62,5596,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,731.59,692.59,706.16,631.24,623.59,660.96,627.41,747.8,570.53,671.36,652.82,2004-07-01
5597,899EF3DE-AF8A-4C83-922E-EB3C0C881C4C,5597,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,746.79,699.22,707.49,636.22,621.98,651.47,627.45,745.36,563.7,669.03,656.69,2004-08-01
5598,05C176C8-9EB7-449A-B9F0-C4C2BA542FB3,5598,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,743.73,691.92,711.68,635.1,629.05,649.74,627.34,744.54,577.92,693.36,651.57,2004-09-01
5599,DF676A46-A6E3-4C9E-8DCC-D41CBFEAECCA,5599,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,746.81,706.07,711.51,651.13,632.33,659.98,630.28,750.17,584.74,668.87,662.06,2004-10-01
5600,AD24454F-8F8A-4633-B6AA-55A76051144A,5600,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,761.41,709.57,716.23,648.86,634.31,656.19,627.25,753.11,593.43,673.86,669.35,2004-11-01
5601,91381916-9DFC-437A-A656-808B3BE8FB3E,5601,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,747.23,705.55,720.44,647.95,643.32,659.31,643.97,758.94,607.09,688.18,666.76,2004-12-01
5602,E4D94798-2653-4481-A8F9-602F8663799D,5602,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,764.65,715.99,725.89,658.96,652.63,672.41,647.98,764.64,604.08,681.06,681.22,2005-01-01
5603,E4BBDA62-1993-4A60-958E-0279D898C9CB,5603,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,785.75,726.15,736.62,659.63,654.11,677.05,654.51,776.3,609.09,690.69,680.44,2005-02-01
5604,DBB7FC76-6F71-409D-A2A7-95864E9D013C,5604,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,753.61,701.01,725.46,657.92,649.99,664.54,647.21,763.68,601.43,698.83,660.71,2005-03-01
5605,99B7B90A-C5BA-4852-B616-B1374251242E,5605,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,768.57,723.27,730.08,657.87,650.5,676.23,646.68,773.07,603.32,681.96,669.64,2005-04-01
5606,D1DB23DE-8727-4E73-8A3C-40D1DF0C6CEC,5606,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,777.96,724.58,732.58,660.31,648.88,681.5,654.89,772.7,599.84,685.59,679.13,2005-05-01
5607,6E02651B-09B0-48D9-9264-716DA493FC24,5607,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,769.72,717.59,737.03,668.97,651.25,681.86,658.26,780.19,596.32,700.16,673.19,2005-06-01
5608,265649DE-E7B1-47EB-B966-06C6662659C4,5608,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,774.32,717.79,732.72,664.86,650.55,687.9,655.07,771.46,594.02,694.08,675.98,2005-07-01
5609,909D285D-C33F-48EB-9F4A-3FBFD65BDFD3,5609,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,788.82,721.83,737.25,668.22,650.25,684.16,658.37,775.08,589.19,695.62,685.14,2005-08-01
5610,49ECAC21-F25A-4755-81EA-EB3E01A1D206,5610,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,797.72,732.94,750.15,676.45,662.76,687.48,667.95,789.46,602.71,712.43,685.41,2005-09-01
5611,11D7186E-E369-44A8-8D20-5469BD54D28E,5611,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,806.67,727.07,745.0,672.92,664.33,694.49,665.19,784.1,605.55,697.21,693.74,2005-10-01
5612,25E7B8D5-1DCB-41EA-8E4F-D0866784301C,5612,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,813.68,734.55,744.12,669.69,663.52,689.05,664.16,780.22,611.13,692.79,691.75,2005-11-01
5613,74389658-58C1-4225-AC3E-AB5794CA7F4D,5613,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,795.73,731.04,744.96,671.9,663.38,689.01,665.35,782.1,625.42,703.33,688.49,2005-12-01
5614,E2770A54-5AB8-47A4-95A3-F0A447998600,5614,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,809.2,737.46,745.92,675.3,667.62,696.36,670.78,784.57,624.49,688.28,703.69,2006-01-01
5615,D1F8F5B0-130C-46E1-B346-C16C5D2C6088,5615,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,820.63,745.92,750.88,676.03,667.28,696.93,668.33,787.84,615.44,694.78,697.29,2006-02-01
5616,7A824CBF-5CEC-438D-8F73-C8E219347A62,5616,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,810.53,733.18,750.57,677.82,666.39,697.16,669.46,785.61,619.78,709.13,694.58,2006-03-01
5617,A0B9FA2C-053A-405E-A04D-3228314FC1E3,5617,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,820.94,744.35,750.57,675.59,668.49,706.22,667.61,783.55,621.81,699.77,705.73,2006-04-01
5618,4EA61C5A-0190-41C5-B761-53887DADF79F,5618,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,824.64,748.7,750.35,671.65,666.57,706.87,662.6,782.2,628.0,698.94,702.6,2006-05-01
5619,8CA3CDFB-1A8C-425E-B454-64AA255588BA,5619,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,809.03,742.35,753.77,691.44,671.62,702.87,678.54,784.84,627.4,715.48,707.28,2006-06-01
5620,D710E72B-4A40-4FFD-AE79-7845B8636127,5620,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,817.47,739.37,750.98,680.69,666.76,703.26,675.41,782.64,608.19,707.15,707.14,2006-07-01
5621,7E43B66A-48FC-44D6-A98C-F1658270FEF0,5621,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,817.2,733.75,754.22,678.08,666.59,701.91,677.12,784.06,607.28,722.64,701.03,2006-08-01
5622,4540C46A-58A3-4509-A3F8-DF86C9E202DF,5622,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,827.29,748.3,757.15,694.7,680.08,713.53,675.86,793.66,625.31,700.16,710.12,2006-09-01
5623,7F99932B-DA47-41B4-BE28-FE46909C9A69,5623,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,842.57,751.64,761.69,692.35,680.81,713.9,671.73,796.44,622.92,704.99,717.13,2006-10-01
5624,CB264143-D073-445D-936C-AE439DB10D36,5624,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,822.22,736.59,760.42,689.81,687.34,706.36,677.32,791.94,630.17,726.38,705.6,2006-11-01
5625,3E51E44B-0FCF-43CD-9FB0-08A5AC0B91DC,5625,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,845.36,766.66,773.45,717.12,698.05,726.71,686.59,806.65,647.11,717.51,726.55,2006-12-01
5626,FF942B08-06B3-4781-AF5F-CB24E45AA277,5626,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,854.96,762.68,773.73,707.73,696.82,729.26,681.76,807.77,642.43,714.54,732.72,2007-01-01
5627,C52801CA-38C4-4E62-8250-37877C5D6CA7,5627,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,853.84,758.66,776.53,714.22,700.51,721.53,685.84,809.89,645.75,724.67,732.27,2007-02-01
5628,F161F122-4638-474B-B0E0-B179D4DEDBB3,5628,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,850.7,759.08,784.01,724.61,708.73,731.68,702.86,816.33,661.79,741.7,738.86,2007-03-01
5629,31DB9C5F-E95C-499B-B69C-C005452F86A1,5629,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,857.63,766.23,781.52,719.08,703.84,738.92,689.61,815.2,648.19,728.52,733.57,2007-04-01
5630,23BA11D2-D51C-4E9C-8886-02D2C2175C66,5630,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,849.73,757.83,784.79,711.28,709.09,728.27,701.21,815.04,645.08,752.91,734.84,2007-05-01
5631,ABF0652E-3385-42DB-B120-1F6E210F3853,5631,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,874.78,781.65,792.83,735.08,709.27,740.65,706.09,827.65,644.68,733.7,754.63,2007-06-01
5632,063A9378-DA6E-4DE5-9908-47299CF0066D,5632,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,878.76,770.76,788.23,723.46,699.33,737.91,693.87,819.07,625.36,737.81,746.2,2007-07-01
5633,15E43487-D939-47E8-BA34-1D7D174567E2,5633,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,863.34,761.89,784.12,723.55,701.18,727.78,697.54,814.41,627.68,741.36,739.08,2007-08-01
5634,B633F4AD-C82A-4D90-8913-9652F0C650F9,5634,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,889.34,773.3,790.83,725.99,706.19,740.2,688.71,820.11,637.27,737.29,761.11,2007-09-01
5635,D8087A10-6083-4B34-B482-153D1A7A6B4B,5635,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,898.35,777.97,793.56,732.68,713.49,743.79,686.09,823.31,640.49,734.54,757.42,2007-10-01
5636,9F96EB56-C859-4A53-BD26-D810B7AD9F47,5636,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,886.73,778.59,799.17,739.94,719.72,741.63,699.24,830.69,657.05,748.61,756.88,2007-11-01
5637,8AE19A34-6586-43C4-A130-EF3A0247E7EB,5637,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,890.7,782.8,799.48,736.98,723.41,741.36,702.3,828.37,664.98,746.4,769.23,2007-12-01
5638,F9A4A504-1C0E-4163-98C7-C2DA43D82DC0,5638,1435599444,710753,1435599444,710753,,Industrial aggregate excluding unclassified businesses,884.75,769.03,797.52,727.19,717.77,741.54,701.96,829.96,656.31,749.64,758.43,2008-01-01
